"aou","Diet","ForStrat","Tol"
6770,NA,NA,0.549650415
6780,2,2,0.164765849
6790,NA,NA,0.155193116
6800,NA,NA,0.691474001
6810,1,2,0.491252122
6830,2,1,1.514439484
6840,NA,NA,0.946844037
6850,NA,NA,0.867443808
6860,NA,NA,0.160740776
6870,3,2,0.346476864
6880,2,1,0.038392855
6882,3,2,0.63021288
6883,2,3,0.002059415
6900,1,1,0.107362724
6970,3,2,0.632122536
7000,2,2,0.091361936
7020,3,1,0.282004067
7030,2,2,1.169980826
7040,2,2,0.312578421
7050,3,2,1.197286772
7070,3,1,0.490721778
7080,3,1,0.259241532
7100,2,1,0.198791242
7120,3,2,0.399966467
7130,3,2,0.441805607
7150,2,1,0.75250512
7170,1,1,0.911310131
7180,4,3,0.752359057
7190,2,2,0.887121255
7210,2,1,1.306981107
7220,NA,NA,1.922129381
7240,1,1,0.31709376
7250,1,1,2.046173846
7260,3,4,1.329797246
7270,2,3,1.157398136
7280,2,3,1.159722652
7290,2,2,0.234353991
7300,2,2,0.814490128
7310,2,4,0.753109202
7330,4,2,0.296572145
7331,4,3,0.219187092
7350,NA,NA,0.46827529
7360,NA,NA,0.547917033
7380,NA,NA,0.660939916
7400,NA,NA,0.997144792
7410,NA,NA,1.281300137
7420,3,2,0.368605755
7430,4,2,0.683303554
7460,4,2,0.507364369
7480,1,2,1.327840209
7490,2,2,1.44859251
7510,1,2,1.816567859
7520,1,2,0.476056118
7540,4,3,0.822590642
7550,2,2,0.42945037
7560,3,1,0.289705173
7570,2,3,0.520741779
7571,2,2,0.011927512
7580,2,2,0.584531802
7590,2,2,0.712570889
7610,2,3,0.66658442
7630,NA,NA,1.224549813
7650,3,1,0.268866121
7660,2,1,0.88002471
7670,3,1,0.762182329
7680,3,1,0.875377756
22860,4,3,0.441991907
